tps,suara,confidence_score
TPS_501_1,077,0.9999436736106873
TPS_501_2,141,0.9999844431877136
TPS_501_3,018,0.9999937415122986
TPS_502_1,125,0.9999441504478455
TPS_502_2,098,0.9999807476997375
TPS_502_3,012,0.9999985098838806
TPS_503_1,041,0.999981701374054
TPS_503_2,165,0.9995520710945129
TPS_503_3,023,0.999993622303009
TPS_504_1,021,0.9999843239784241
TPS_504_2,153,0.9999410510063171
TPS_504_3,041,0.9999761581420898
TPS_505_1,059,0.9999895095825195
TPS_505_2,172,0.9999701380729675
TPS_505_3,011,0.9999992251396179
TPS_506_1,068,0.9999778866767883
TPS_506_2,120,0.9998957514762878
TPS_506_3,031,0.9972882270812988
TPS_507_1,040,0.9999403357505798
TPS_507_2,170,0.9991226196289062
TPS_507_3,047,0.9999917149543762
TPS_508_1,047,0.9999723434448242
TPS_508_2,126,0.9999120235443115
TPS_508_3,038,0.9999355673789978
TPS_509_1,048,0.9999905228614807
TPS_509_2,158,0.9999715685844421
TPS_509_3,032,0.9998771548271179
TPS_510_1,040,0.9999578595161438
TPS_510_2,167,0.9999790787696838
TPS_510_3,010,0.9999790191650391
TPS_511_1,010,0.9999712109565735
TPS_511_2,163,0.9999074339866638
TPS_511_3,048,0.999993622303009
TPS_512_1,054,0.9999899864196777
TPS_512_2,172,0.999914824962616
TPS_512_3,027,0.999980628490448
TPS_513_1,029,0.999993622303009
TPS_513_2,202,0.9996314644813538
TPS_513_3,008,0.9999904632568359
TPS_514_1,029,0.9999883770942688
TPS_514_2,161,0.9998130798339844
TPS_514_3,050,0.999969482421875
TPS_515_1,070,0.9999848008155823
TPS_515_2,071,0.999739944934845
TPS_515_3,039,0.9999780654907227
TPS_516_1,073,0.9999879002571106
TPS_516_2,077,0.9999833106994629
TPS_516_3,034,0.9999715685844421
TPS_517_1,022,0.9999988675117493
TPS_517_2,183,0.9999650120735168
TPS_517_3,045,0.9999818801879883
TPS_518_1,046,0.9999721646308899
TPS_518_2,154,0.999940812587738
TPS_518_3,032,0.9998853802680969
TPS_519_1,034,0.9999553561210632
TPS_519_2,109,0.9999856948852539
TPS_519_3,049,0.9999920725822449
TPS_520_1,019,0.999997615814209
TPS_520_2,170,0.9998739361763
TPS_520_3,053,0.9993550777435303
TPS_521_1,014,0.9999906420707703
TPS_521_2,143,0.9999911189079285
TPS_521_3,049,0.9999960064888
TPS_522_1,047,0.9999821782112122
TPS_522_2,149,0.9999885559082031
TPS_522_3,034,0.99996018409729
TPS_523_1,030,0.9876499176025391
TPS_523_2,137,0.9941284656524658
TPS_523_3,041,0.9999372363090515
TPS_524_1,026,0.9999918937683105
TPS_524_2,157,0.9999823570251465
TPS_524_3,058,0.9999791979789734
TPS_525_1,008,0.9999893307685852
TPS_525_2,166,0.9999470710754395
TPS_525_3,030,0.9995670318603516
TPS_526_1,010,0.999944269657135
TPS_526_2,176,0.9995375275611877
TPS_526_3,060,0.9999816417694092
TPS_527_1,011,0.9999982714653015
TPS_527_2,162,0.999928891658783
TPS_527_3,071,0.9997864365577698
TPS_528_1,008,0.9999940991401672
TPS_528_2,104,0.9999720454216003
TPS_528_3,045,0.9999802708625793
TPS_529_1,010,0.9999537467956543
TPS_529_2,141,0.9999855160713196
TPS_529_3,043,0.9999878406524658
TPS_530_1,009,0.9999935030937195
TPS_530_2,148,0.9999420046806335
TPS_530_3,041,0.9999876618385315
TPS_531_1,025,0.999993622303009
TPS_531_2,155,0.9999475479125977
TPS_531_3,034,0.9999567866325378
TPS_532_1,009,0.9999902844429016
TPS_532_2,149,0.9999740719795227
TPS_532_3,018,0.9999732375144958
TPS_533_1,014,0.9999962449073792
TPS_533_2,158,0.9999776482582092
TPS_533_3,067,0.9999855160713196
TPS_534_1,045,0.9999663233757019
TPS_534_2,131,0.9998661875724792
TPS_534_3,022,0.9999988079071045
TPS_535_1,018,0.9999108910560608
TPS_535_2,153,0.9999225735664368
TPS_535_3,033,0.9999725818634033
TPS_536_1,017,0.9998853802680969
TPS_536_2,160,0.9998607039451599
TPS_536_3,057,0.9999732375144958
TPS_537_1,052,0.9999842643737793
TPS_537_2,121,0.9999427199363708
TPS_537_3,028,0.9999809861183167
TPS_538_1,024,0.9999866485595703
TPS_538_2,158,0.9999569058418274
TPS_538_3,048,0.9999813437461853
TPS_539_1,016,0.999988853931427
TPS_539_2,114,0.9999739527702332
TPS_539_3,030,0.999808132648468
TPS_540_1,018,0.9999866485595703
TPS_540_2,140,0.9939867854118347
TPS_540_3,039,0.9999880194664001
TPS_541_1,022,0.9999979138374329
TPS_541_2,165,0.9997346997261047
TPS_541_3,017,0.9997518658638
TPS_542_1,029,0.9999890327453613
TPS_542_2,160,0.9999106526374817
TPS_542_3,016,0.999988853931427
TPS_543_1,040,0.9999775290489197
TPS_543_2,083,0.9999601244926453
TPS_543_3,008,0.999997615814209
TPS_544_1,022,0.9999985098838806
TPS_544_2,167,0.9999664425849915
TPS_544_3,023,0.9999958872795105
TPS_545_1,032,0.9999494552612305
TPS_545_2,147,0.9999762177467346
TPS_545_3,028,0.9999774098396301
TPS_546_1,019,0.9999982714653015
TPS_546_2,171,0.9990670084953308
TPS_546_3,057,0.9999902844429016
TPS_547_1,012,0.9999985694885254
TPS_547_2,174,0.999899685382843
TPS_547_3,035,0.999949038028717
TPS_548_1,008,0.9999958872795105
TPS_548_2,154,0.9999789595603943
TPS_548_3,044,0.9999971389770508
TPS_549_1,039,0.9999651908874512
TPS_549_2,167,0.9999710917472839
TPS_549_3,037,0.9999793171882629
TPS_550_1,026,0.9999937415122986
TPS_550_2,141,0.9999846816062927
